Voltaje22(V),Voltaje23(V),Voltaje25(V),Corriente25(A),Resistencia(Ω)
0.000763641,0.001421312,-4e-07,0.0453177,9.91e+37
0.000788955,0.00142505,1e-07,0.0434434,9.91e+37
0.000810834,0.001425804,2e-06,0.0421428,9.91e+37
0.000831172,0.001425762,-9e-07,0.0409309,9.91e+37
0.000850178,0.0014255,9e-07,0.0387465,9.91e+37
0.000867154,0.001424055,5e-07,0.0376883,9.91e+37
0.000882174,0.001423542,1.2e-06,0.0367751,9.91e+37
0.000897453,0.001422767,-1e-07,0.0354901,9.91e+37
0.000913233,0.00142126,1e-07,0.0343117,9.91e+37
0.000926639,0.001420056,-9e-07,0.0332721,9.91e+37
0.000939816,0.001418768,-1.6e-06,0.0317233,9.91e+37
0.000950048,0.001416758,2e-07,0.0308274,9.91e+37
0.000959561,0.001415198,-3e-07,0.030234,9.91e+37
0.000969178,0.001413648,4e-07,0.0296836,9.91e+37
0.000978255,0.001411031,1e-06,0.0292072,9.91e+37
0.000987518,0.001408947,-2.9e-06,0.028286,9.91e+37
0.000995585,0.001406927,-1.3e-06,0.0276888,9.91e+37
0.001004651,0.001403911,-1e-07,0.0264217,9.91e+37
0.00101025,0.001401388,2e-06,0.025927,9.91e+37
0.0010166,0.001398279,-2e-07,0.0252722,9.91e+37
0.001021845,0.001395064,5e-07,0.0249,9.91e+37
0.0010268,0.001392196,-3e-07,0.0245396,9.91e+37
0.001032202,0.001389002,-1.4e-06,0.0237897,9.91e+37
0.00103622,0.001385589,5e-07,0.0233155,9.91e+37
0.001040581,0.001382721,9e-07,0.0226661,9.91e+37
0.00104489,0.001379517,-9e-07,0.0224369,9.91e+37
0.001048835,0.0013767,1e-06,0.0220968,9.91e+37
0.001053768,0.001372921,-8e-07,0.0214999,9.91e+37
0.001056693,0.001369968,2e-07,0.0209871,9.91e+37
0.001057994,0.00136622,1.4e-06,0.0205799,9.91e+37
0.001059597,0.001363111,-6e-07,0.0205206,9.91e+37
0.001061835,0.001359802,1.1e-06,0.0201171,9.91e+37
0.001064104,0.001356473,-2e-07,0.0197509,9.91e+37
0.001065332,0.001352892,-2e-07,0.019457,9.91e+37
0.001064947,0.001349102,3e-07,0.0194809,9.91e+37
0.00106527,0.001346055,5e-07,0.0193644,9.91e+37
0.001065842,0.001341606,1e-06,0.0189643,9.91e+37
0.001067841,0.001337994,-1e-07,0.0188573,9.91e+37
0.001068621,0.001334937,1e-07,0.0185065,9.91e+37
0.001068923,0.001331827,2e-07,0.018293,9.91e+37
0.001069038,0.001328309,4e-07,0.0180834,9.91e+37
0.001068455,0.001324393,-2.8e-06,0.0179957,9.91e+37
0.001067945,0.001321106,1.8e-06,0.0176917,9.91e+37
0.001068715,0.001317305,-3e-07,0.0174177,9.91e+37
0.001069797,0.001313829,-6e-07,0.0171565,9.91e+37
0.001070474,0.001309003,-8e-07,0.0171504,9.91e+37
0.001063813,0.001305726,1.1e-06,0.0172566,9.91e+37
0.001061731,0.001300554,2e-07,0.017923,9.91e+37
0.001059909,0.001297046,2.5e-06,0.0171328,9.91e+37
0.00105966,0.001294157,1e-06,0.016821,9.91e+37
