Voltaje22(V),Voltaje23(V),Voltaje25(V),Corriente25(A),Resistencia(Ω)
-6.5584e-05,-7.4524e-05,7e-07,7e-07,9.91e+37
-6.6979e-05,-7.6523e-05,-5e-07,-5e-07,9.91e+37
-6.9331e-05,-7.8513e-05,1e-06,1e-06,9.91e+37
-7.0965e-05,-8.0355e-05,8e-07,8e-07,9.91e+37
-7.2464e-05,-8.1905e-05,-1e-07,-1e-07,9.91e+37
-7.3932e-05,-8.3297e-05,2.6e-06,2.6e-06,9.91e+37
-7.5389e-05,-8.4816e-05,-1.8e-06,-1.8e-06,9.91e+37
-7.6825e-05,-8.5904e-05,3.2e-06,3.2e-06,9.91e+37
-7.8407e-05,-8.7349e-05,7e-07,7e-07,9.91e+37
-7.9896e-05,-8.8501e-05,1.8e-06,1.8e-06,9.91e+37
