Voltaje22(V),Voltaje23(V),Voltaje25(V),Corriente25(A),Resistencia(Ω)
0.000904906,0.001066942,2e-07,0.0118994,9.91e+37
0.000897609,0.000947199,-4.9e-06,0.00640033,9.91e+37
0.000879041,0.000518337,-1.4e-06,-0.0166308,9.91e+37
0.000839853,0.000344602,1.4e-06,-0.0269779,9.91e+37
0.000797917,0.000240114,-4e-07,-0.0317662,9.91e+37
0.000756907,0.000168155,4e-07,-0.034343,9.91e+37
0.000715502,0.000117994,5e-07,-0.035575,9.91e+37
0.000675492,8.0198e-05,5e-07,-0.0359756,9.91e+37
0.000637324,5.0663e-05,-1e-07,-0.035835,9.91e+37
0.000600634,2.7169e-05,-2.1e-06,-0.0353688,9.91e+37
0.000565869,7.716e-06,-9e-07,-0.0346305,9.91e+37
0.000531646,-8.899e-06,9e-07,-0.0336791,9.91e+37
0.000498745,-2.3075e-05,1.2e-06,-0.0326753,9.91e+37
0.000466905,-3.5472e-05,4e-07,-0.0315945,9.91e+37
0.000436981,-4.6234e-05,-1.5e-06,-0.030566,9.91e+37
0.000407754,-5.6244e-05,1.7e-06,-0.029492,9.91e+37
0.000380546,-6.5436e-05,5e-07,-0.0283036,9.91e+37
0.000353598,-7.3131e-05,-4e-07,-0.0272259,9.91e+37
0.000328253,-8.1025e-05,2e-07,-0.0261199,9.91e+37
0.000303668,-8.8009e-05,1.2e-06,-0.0245252,9.91e+37
0.000281196,-9.4531e-05,5e-07,-0.0236599,9.91e+37
0.000259515,-0.000100677,5e-07,-0.0227548,9.91e+37
0.000239011,-0.000106174,-6e-07,-0.0218698,9.91e+37
0.000219328,-0.000111367,2e-07,-0.0209904,9.91e+37
0.000200031,-0.000115953,-1.2e-06,-0.0201426,9.91e+37
0.000181358,-0.000120926,5e-07,-0.0192583,9.91e+37
0.000163986,-0.000125323,-6e-07,-0.0184536,9.91e+37
0.000147145,-0.00012948,0.0,-0.01767,9.91e+37
0.000130981,-0.000133908,-1.6e-06,-0.0169234,9.91e+37
0.00011619,-0.000137185,-3e-07,-0.0162388,9.91e+37
