Voltaje22(V),Voltaje23(V),Voltaje25(V),Corriente25(A),Resistencia(Ω)
0.001009772,-0.000107179,1.7e-06,-0.098641,9.91e+37
0.000853633,-0.000120685,1.7e-06,-0.0662418,9.91e+37
0.000738411,-0.000136725,-5e-07,-0.0565458,9.91e+37
0.000642767,-0.000151581,4e-07,-0.0506416,9.91e+37
0.000558417,-0.000165506,-2e-07,-0.0458941,9.91e+37
0.000483507,-0.000178761,4e-07,-0.0418999,9.91e+37
0.000414405,-0.00019078,2.7e-06,-0.0384426,9.91e+37
0.000353817,-0.000202443,2.2e-06,-0.0353235,9.91e+37
0.000298599,-0.000212651,2e-07,-0.0325046,9.91e+37
0.000247941,-0.000222409,1e-06,-0.0298868,9.91e+37
0.000201811,-0.000231717,-6e-07,-0.0274793,9.91e+37
0.000159656,-0.000240187,3e-07,-0.0253002,9.91e+37
0.000120635,-0.000248374,-8e-07,-0.0232404,9.91e+37
8.1134e-05,-0.00025608,-1e-07,-0.0210051,9.91e+37
4.663e-05,-0.000262781,-3e-07,-0.0191031,9.91e+37
1.5706e-05,-0.000269523,7e-07,-0.0174232,9.91e+37
-9.722e-06,-0.000274643,1e-07,-0.0161161,9.91e+37
-3.2933e-05,-0.000279574,-2e-07,-0.0149595,9.91e+37
-5.4509e-05,-0.000284087,-8e-07,-0.0138021,9.91e+37
-7.5712e-05,-0.00028818,-1e-06,-0.0126078,9.91e+37
-9.503e-05,-0.000292253,1.5e-06,-0.0114791,9.91e+37
-0.000111819,-0.000295949,0.0,-0.0105293,9.91e+37
-0.000127359,-0.000299058,-2e-07,-0.0096433,9.91e+37
-0.000141452,-0.000302168,4.73e-05,-0.00884416,9.91e+37
-0.00015365,-0.000304691,-8e-07,-0.00811327,9.91e+37
-0.000165402,-0.000306597,1.1e-06,-0.00741438,9.91e+37
-0.000174988,-0.000308722,-7e-07,-0.00679436,9.91e+37
-0.000183294,-0.00031001,-1.5e-06,-0.00624772,9.91e+37
-0.00019185,-0.000311999,-3e-07,-0.00571831,9.91e+37
-0.000198313,-0.000312826,5e-07,-0.00532089,9.91e+37
-0.000204496,-0.000313758,7e-07,-0.0049123,9.91e+37
-0.000209877,-0.000314512,-5e-07,-0.00453341,9.91e+37
-0.000214353,-0.000314962,4e-07,-0.00422498,9.91e+37
-0.000218922,-0.00031558,0.0,-0.0039494,9.91e+37
-0.000222971,-0.000315998,1e-07,-0.00370719,9.91e+37
-0.000226947,-0.000317056,-3e-07,-0.00347459,9.91e+37
-0.000231579,-0.000317663,-2e-07,-0.0031937,9.91e+37
-0.000234899,-0.000318239,-1e-06,-0.00294884,9.91e+37
-0.000237085,-0.000318417,-1e-07,-0.00276794,9.91e+37
-0.000239167,-0.000318689,0.0,-0.00261678,9.91e+37
-0.000241582,-0.000319213,3e-07,-0.00247801,9.91e+37
-0.000243871,-0.000319872,-1.3e-06,-0.00235976,9.91e+37
-0.000246078,-0.000320385,5e-07,-0.00224883,9.91e+37
-0.000248347,-0.000320176,1.2e-06,-0.00211511,9.91e+37
-0.0002497,-0.000321233,9e-07,-0.00201925,9.91e+37
-0.000251272,-0.000321495,-3e-07,-0.00194164,9.91e+37
-0.000252365,-0.000321704,1.1e-06,-0.00185353,9.91e+37
-0.000253416,-0.000321977,-1e-07,-0.00176164,9.91e+37
-0.000254519,-0.000321893,1.1e-06,-0.00169944,9.91e+37
