Voltaje22(V),Voltaje23(V),Voltaje25(V),Corriente25(A),Resistencia(Ω)
-0.000257278,-0.000312774,0.0999997,0.0221326,9.91e+37
-0.000265927,-0.000309884,0.1999994,0.0431801,9.91e+37
-0.000276898,-0.000307549,0.299998,0.0641521,9.91e+37
-0.000288295,-0.00030512,0.4,0.0850519,9.91e+37
-0.00030014,-0.000301602,0.5,0.107553,9.91e+37
-0.000313432,-0.000298995,0.600001,0.128731,9.91e+37
-0.000327785,-0.000297247,0.7,0.149953,9.91e+37
-0.000340525,-0.000295739,0.800001,0.171308,9.91e+37
-0.000352255,-0.000292902,0.899998,0.192429,9.91e+37
-0.000365006,-0.000289751,0.999998,0.21358,9.91e+37
-0.000376799,-0.000286097,1.099998,0.234845,9.91e+37
-0.000387165,-0.000282631,1.2,0.256087,9.91e+37
-0.000398688,-0.00027993,1.299996,0.277341,9.91e+37
-0.00040844,-0.000275815,1.4,0.298633,9.91e+37
-0.00041912,-0.000272329,1.500001,0.31978,9.91e+37
-0.000429924,-0.000268926,1.599999,0.340944,9.91e+37
-0.000440603,-0.000265241,1.700001,0.362158,9.91e+37
-0.000450897,-0.000261838,1.8,0.38342,9.91e+37
-0.000461253,-0.000257923,1.900002,0.404688,9.91e+37
-0.000471839,-0.000254331,2.000001,0.425936,9.91e+37
-0.000482476,-0.000250981,2.100001,0.447239,9.91e+37
-0.000492104,-0.000248353,2.2,0.468622,9.91e+37
-0.000501628,-0.000245317,2.3,0.490028,9.91e+37
-0.000509736,-0.000241621,2.39999,0.511639,9.91e+37
-0.000517917,-0.000238218,2.5,0.533152,9.91e+37
-0.000525474,-0.000234879,2.6,0.554463,9.91e+37
-0.000530782,-0.000231267,2.7,0.575654,9.91e+37
-0.000536351,-0.00022755,2.8,0.596876,9.91e+37
-0.000540972,-0.000223592,2.9,0.618162,9.91e+37
-0.000544043,-0.000218912,3.0,0.63914,9.91e+37
-0.000546114,-0.000214892,3.1,0.660178,9.91e+37
-0.000544209,-0.000209992,3.2,0.681323,9.91e+37
-0.000542221,-0.000203878,3.3,0.70179,9.91e+37
-0.00054193,-0.000199941,3.4,0.72223,9.91e+37
-0.000542918,-0.00019346,3.5,0.742599,9.91e+37
-0.000538994,-0.000188079,3.6,0.76337,9.91e+37
-0.000536913,-0.000180991,3.7,0.783444,9.91e+37
-0.000533145,-0.000174353,3.8,0.803507,9.91e+37
-0.000528513,-0.000167705,3.9,0.82357,9.91e+37
-0.000522445,-0.000160868,4.0,0.843544,9.91e+37
-0.00051646,-0.000153801,4.1,0.86315,9.91e+37
-0.00051417,-0.000146838,4.2,0.882733,9.91e+37
-0.000511339,-0.000141216,4.3,0.902596,9.91e+37
-0.000504084,-0.000134851,4.4,0.92209,9.91e+37
-0.000502908,-0.000129354,4.5,0.941228,9.91e+37
-0.000495695,-0.000123847,4.6,0.961007,9.91e+37
-0.00048919,-0.000116235,4.7,0.979764,9.91e+37
-0.000483413,-0.000109304,4.8,0.999298,9.91e+37
-0.000475575,-0.000103117,4.9,1.018525,9.91e+37
-0.000466968,-9.5997e-05,5.0,1.036941,9.91e+37
-0.000459057,-8.8187e-05,5.1,1.055418,9.91e+37
-0.000451365,-8.1046e-05,5.2,1.073937,9.91e+37
-0.000442976,-7.489e-05,5.3,1.092058,9.91e+37
-0.000433036,-6.7865e-05,5.4,1.109995,9.91e+37
-0.000424126,-6.0735e-05,5.5,1.127601,9.91e+37
-0.000413208,-5.46e-05,5.6,1.145123,9.91e+37
-0.000402768,-4.8077e-05,5.7,1.162618,9.91e+37
-0.000392172,-4.1062e-05,5.8,1.180098,9.91e+37
-0.000379723,-3.3932e-05,5.9,1.197611,9.91e+37
-0.000368191,-2.6007e-05,6.0,1.21536,9.91e+37
