Voltaje22(V),Voltaje23(V),Voltaje25(V),Corriente25(A),Resistencia(Ω)
-0.00026701,-0.000330185,0.0999991,0.0186582,9.91e+37
-0.000261181,-0.000332855,0.1999992,0.039583,9.91e+37
-0.000252615,-0.000335284,0.3,0.0602813,9.91e+37
-0.000240104,-0.000336634,0.4,0.0807311,9.91e+37
-0.00022549,-0.000337995,0.5,0.102505,9.91e+37
-0.000211085,-0.000340173,0.599999,0.123004,9.91e+37
-0.000195004,-0.000341785,0.700001,0.143464,9.91e+37
-0.000177267,-0.000342895,0.8,0.163804,9.91e+37
-0.000155545,-0.00034278,0.899999,0.183933,9.91e+37
-0.000134072,-0.000342843,0.999999,0.203827,9.91e+37
-0.000112641,-0.00034345,1.100002,0.223647,9.91e+37
-9.198e-05,-0.000344706,1.199999,0.243423,9.91e+37
-7.1111e-05,-0.000345638,1.299999,0.263145,9.91e+37
-4.739e-05,-0.000345795,1.399998,0.28267,9.91e+37
-2.3731e-05,-0.000346329,1.5,0.302039,9.91e+37
-1e-08,-0.000346832,1.600001,0.321428,9.91e+37
2.0016e-05,-0.000347858,1.699999,0.341207,9.91e+37
4.459e-05,-0.000347429,1.8,0.360578,9.91e+37
6.5459e-05,-0.000347722,1.900001,0.380507,9.91e+37
9.4093e-05,-0.00034656,2.000001,0.399512,9.91e+37
0.000123757,-0.000345303,2.099999,0.41839,9.91e+37
0.00015083,-0.000344644,2.2,0.437537,9.91e+37
0.000180088,-0.000343,2.3,0.456423,9.91e+37
0.000208389,-0.000341754,2.4,0.475172,9.91e+37
0.000239302,-0.000340204,2.5,0.495285,9.91e+37
0.000270725,-0.000338624,2.6,0.512519,9.91e+37
0.000296008,-0.000337137,2.7,0.531566,9.91e+37
0.000330054,-0.000334792,2.8,0.550137,9.91e+37
0.000364225,-0.000331881,2.9,0.567889,9.91e+37
0.000391818,-0.000329065,3.0,0.586365,9.91e+37
0.000419453,-0.00032696,3.1,0.604347,9.91e+37
0.000455248,-0.000323107,3.2,0.621624,9.91e+37
0.000481821,-0.000320762,3.3,0.640097,9.91e+37
0.000509695,-0.000318103,3.4,0.658974,9.91e+37
0.000546364,-0.000314889,3.5,0.677819,9.91e+37
0.000580295,-0.00031113,3.6,0.695974,9.91e+37
0.00061328,-0.000308177,3.7,0.715917,9.91e+37
0.00066092,-0.000302848,3.8,0.733531,9.91e+37
0.000691292,-0.00029866,3.9,0.751542,9.91e+37
0.000734862,-0.000294462,4.0,0.767437,9.91e+37
0.000772416,-0.000290546,4.1,0.784887,9.91e+37
0.000817526,-0.000285092,4.2,0.801171,9.91e+37
0.000855299,-0.000279438,4.3,0.817676,9.91e+37
0.00089687,-0.000274486,4.4,0.834282,9.91e+37
0.00093686,-0.000269638,4.5,0.850691,9.91e+37
0.000984937,-0.000264058,4.6,0.866078,9.91e+37
0.001020128,-0.000259284,4.7,0.883706,9.91e+37
0.001056204,-0.000253473,4.8,0.899909,9.91e+37
0.001099306,-0.000248217,4.9,0.915045,9.91e+37
0.00113841,-0.000242825,5.0,0.930217,9.91e+37
