Voltaje22(V),Voltaje23(V),Voltaje25(V),Corriente25(A),Resistencia(Ω)
-0.000234879,-0.000276119,0.100001,0.0185131,9.91e+37
-0.000237782,-0.000277522,0.1100009,0.021153,9.91e+37
-0.00023567,-0.000275177,0.1200015,0.0235408,9.91e+37
-0.00023236,-0.000274988,0.1299992,0.0256361,9.91e+37
-0.000229019,-0.0002757,0.1400016,0.0276061,9.91e+37
-0.000227967,-0.000277679,0.1500009,0.0295554,9.91e+37
-0.000222732,-0.000279365,0.1599996,0.0312679,9.91e+37
-0.00022396,-0.000282045,0.169999,0.033319,9.91e+37
-0.000222367,-0.000284767,0.18,0.0351178,9.91e+37
-0.000224512,-0.000288285,0.1899993,0.0372168,9.91e+37
-0.000225095,-0.000290222,0.200001,0.0392384,9.91e+37
-0.000224803,-0.000292588,0.2100013,0.0411921,9.91e+37
-0.000224907,-0.000295226,0.220002,0.0431954,9.91e+37
-0.000226625,-0.000298388,0.229999,0.0451758,9.91e+37
-0.000223793,-0.00030111,0.240001,0.0468979,9.91e+37
-0.000227946,-0.000305037,0.25,0.0490343,9.91e+37
-0.000229456,-0.000307811,0.26,0.0510952,9.91e+37
-0.000229674,-0.000309245,0.27,0.0531611,9.91e+37
-0.000229008,-0.000310826,0.28,0.0551315,9.91e+37
-0.000228821,-0.000312784,0.289998,0.0571823,9.91e+37
-0.000228894,-0.000314082,0.299999,0.059245,9.91e+37
-0.000227603,-0.000315506,0.309999,0.0612744,9.91e+37
-0.000225594,-0.000316469,0.319999,0.0632836,9.91e+37
-0.000222919,-0.00031604,0.329996,0.065295,9.91e+37
-0.000220681,-0.000316962,0.339998,0.0672405,9.91e+37
-0.000221118,-0.000319872,0.35,0.0692051,9.91e+37
-0.000220806,-0.000321233,0.360001,0.0713041,9.91e+37
-0.00021709,-0.000320971,0.37,0.0733084,9.91e+37
-0.000214572,-0.000320134,0.379999,0.0752664,9.91e+37
-0.000211147,-0.000319904,0.39,0.0772418,9.91e+37
-0.000208899,-0.000319464,0.400001,0.079334,9.91e+37
-0.000206807,-0.000319296,0.41,0.0813264,9.91e+37
-0.000204715,-0.00031982,0.42,0.0833467,9.91e+37
-0.000201415,-0.000319642,0.429999,0.085263,9.91e+37
-0.000198438,-0.000318993,0.439999,0.087228,9.91e+37
-0.000196242,-0.000318794,0.45,0.089375,9.91e+37
-0.000191725,-0.000317862,0.460002,0.0912517,9.91e+37
-0.00019058,-0.000317852,0.469999,0.0934229,9.91e+37
-0.000187676,-0.000317527,0.479999,0.0953533,9.91e+37
-0.000185167,-0.000318815,0.489999,0.0971938,9.91e+37
-0.000186323,-0.000321275,0.5,0.0991726,9.91e+37
-0.000185625,-0.00032272,0.510001,0.1011254,9.91e+37
-0.000184699,-0.000323411,0.52,0.1030757,9.91e+37
-0.000181524,-0.000323222,0.53,0.106726,9.91e+37
-0.000177975,-0.000321956,0.539999,0.108627,9.91e+37
-0.00017709,-0.000322992,0.549999,0.110838,9.91e+37
-0.000175352,-0.000324165,0.559998,0.11303,9.91e+37
-0.00017224,-0.000322542,0.569999,0.115242,9.91e+37
-0.000168732,-0.000321662,0.580001,0.116143,9.91e+37
-0.000167494,-0.000323097,0.59,0.118205,9.91e+37
