Voltaje22(V),Voltaje23(V),Voltaje25(V),Corriente25(A),Resistencia(Ω)
-0.000246848,-0.000273763,0.499999,0.12383,9.91e+37
-0.000240197,-0.00027837,0.5,0.114918,9.91e+37
-0.000234754,-0.000279689,0.499998,0.111068,9.91e+37
-0.000230278,-0.000280558,0.500001,0.109181,9.91e+37
-0.000227301,-0.000280967,0.499999,0.108086,9.91e+37
-0.000222638,-0.000281417,0.500002,0.107061,9.91e+37
-0.000218901,-0.000281302,0.500001,0.106475,9.91e+37
-0.000217236,-0.000281553,0.499999,0.106122,9.91e+37
-0.000215467,-0.000281605,0.500002,0.105893,9.91e+37
-0.000214249,-0.000281207,0.5,0.1038888,9.91e+37
-0.000212688,-0.000281281,0.5,0.1038259,9.91e+37
-0.000211428,-0.000281312,0.5,0.1037352,9.91e+37
-0.000210158,-0.000281124,0.500001,0.1036523,9.91e+37
-0.000208836,-0.000281239,0.5,0.103567,9.91e+37
-0.000207619,-0.000281207,0.500001,0.1034778,9.91e+37
-0.000206463,-0.000280998,0.499999,0.1033805,9.91e+37
-0.00020511,-0.000281008,0.500001,0.10329,9.91e+37
-0.000204163,-0.000281092,0.5,0.1032089,9.91e+37
-0.000203039,-0.000281008,0.499999,0.1031347,9.91e+37
-0.000201811,-0.000281008,0.500002,0.1030537,9.91e+37
-0.000200895,-0.000281312,0.5,0.1029554,9.91e+37
-0.000199708,-0.00028127,0.499999,0.1028863,9.91e+37
-0.000198594,-0.000280967,0.5,0.1027932,9.91e+37
-0.00019796,-0.000280977,0.499998,0.1027207,9.91e+37
-0.000196867,-0.000280956,0.5,0.1026474,9.91e+37
-0.000192953,-0.000281186,0.5,0.1024546,9.91e+37
-0.000193349,-0.000280998,0.499999,0.1023131,9.91e+37
-0.000192453,-0.000280956,0.500001,0.1022568,9.91e+37
-0.000191766,-0.000280809,0.499999,0.102224,9.91e+37
-0.000191236,-0.000281113,0.500001,0.1022064,9.91e+37
-0.000190642,-0.000281197,0.499999,0.1021913,9.91e+37
-0.000189862,-0.000280998,0.5,0.1021681,9.91e+37
-0.000189664,-0.00028104,0.500001,0.1021381,9.91e+37
-0.000189352,-0.000280946,0.500001,0.1021132,9.91e+37
-0.000188842,-0.000280967,0.500001,0.1020797,9.91e+37
-0.000188352,-0.000281333,0.499999,0.1020394,9.91e+37
-0.000187738,-0.000281521,0.5,0.1020144,9.91e+37
-0.000187468,-0.00028148,0.5,0.1019717,9.91e+37
-0.000186843,-0.000281176,0.5,0.1019248,9.91e+37
-0.000186364,-0.000281542,0.499999,0.1018838,9.91e+37
-0.000185782,-0.000281678,0.500002,0.1018409,9.91e+37
-0.000184886,-0.000281783,0.5,0.1017965,9.91e+37
-0.000184595,-0.000281427,0.500001,0.1017612,9.91e+37
-0.000184054,-0.000281553,0.499998,0.1017342,9.91e+37
-0.000183939,-0.000281438,0.499999,0.1017043,9.91e+37
